# p1	seed64	light	dark	winner	reason	2-char-actions
p1	1DIV_	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0l0P0d0e0X0O0e0L0R0I0K060C050H0J0V0W0Q0O0C0Y0J0X0f040Y030A020009Oe0MKw0NUw0B0T0I8n0gEGIt9-QeLpHRRV0C1M
p1	1DIVa	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	D	P	0G0J0F0T0S0L0E0U0L0g0N0b000a070V0Y0W0f0Z0m0K0P0I0R0P
p1	1DIVb	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0F0S0Z010L00030S0E0V0g02040W0Y0T0U090B0H0J0A0C0O0Q0d0X0mH80GCf1WBs0cKF0ORz0SIx0OHD0bKM0O3T0T0LNMIO1f43089J
p1	1DIVc	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	D	P	000S040g0B0W0I0V0Y0X0P0d0i0U0T0N0H0O0Q0e0f0J0K0R0M0L0Q0J0M0Q0AHX0bMY0DFg
p1	1DIVd	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0N0Z0L0f0c0a0j000V01030204090O0G0U0S0E0F0P07080A0C0I0B0H3M
p1	1DIVe	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	L	P	0G0N0i0A0U0b0N0a0Z0g02090F0c0S0h0j0V0W0f0V070801000c010dPE0VOG0P2n0E1M
p1	1DIVf	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	080Q020f090L0N0G0H0I0A0e0F0E0H0d0U0c0O0Z0h01000F010M0V0J0j0i0c
p1	1DIVg	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	D	P	0X0M0N010O0L0i0Y0W02050D000F0Q080P06040K0U0b0d0c0e0V0I0H0B5g0OOoYd0T12A-090aKx7A0V1o
p1	1DIVh	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	D	P	030a080F010M0j0E0O0G0V0c0b0d0I0U0N0i0U0k0H0j0A0h020Z0X0l0g0m
p1	1DIVi	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	D	P	0J0E0N0T0Q0e0X070l050e060I040H030G0201000901
p1	1DIVj	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	D	P	0T0N0h020a01000S0U0G0b0O040P0R0Q06090K0D050J0I0W0B0J0H0A0C08EgFr5vBU42935F7e9YVk0eQO6lMk0F0eUj1u
p1	1DIVk	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	D	P	0N0V0X0Z0e0D0W0C0l0B0P0A0809070001020U01
p1	1DIVl	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0W0j0l0Q0R04000k0m06050g0e080C090J0X0Y0d0f020K
p1	1DIVm	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	L	P	0B0l0C0a040m0I0k0H0j0Z0b0g0c0S0E0M05060N0O050N030J040L0D0K0T9P
p1	1DIVn	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	D	P	0L080X06000Z0h0T07090S0E0Q050J040F0G010F020A0U03
p1	1DIVo	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	L	P	0A0V010g080h0k0a090b0Y0P0R0U0K0O0D060f050m0I0J0B0C0H0B
p1	1DIVp	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	D	P	0e090S0W050J0C0Q0g0E0L070R080K0P0Y0D060m0k0I0D0X0l0f010d0F0e1b08an0G0HUt3S810A6W
p1	1DIVq	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	D	P	0E0A0F0Z020a0d0k0W0D0g0S04030P0L0I0B050b0C0J0Q0c0e0J0K0l330X0f0J073Z0HaVGT8z
p1	1DIVr	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0O0M0Z0c0V0j0g0L0S0E0H0f030A0G0b02090N070I080U0i0F0T0W0B2N0aMO7d3W0C0T0B3z80018uMMWvE_0d87
p1	1DIVs	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	D	P	0a0X0K0C0h070D0B050Y0T080M090A030J0G0C0O040P020N0B0Q
p1	1DIVt	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0j0d0G0b0c0a0V0e0O070H0600080E0F070M090L02
p1	1DIVu	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	L	P	020j0G0E090i0g0m0Z0F0H0M0I0T0P0U0b0N0W0V0X0O0Q0a0e0A0B0H0J0G0lZB0cOg89SP2O8X03Hf053-Re5X5I
p1	1DIVv	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	D	P	0i090D0K0R060K050004070L0F0U080A0b0E0G0N0M0G0O0F0N03
p1	1DIVw	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	D	P	0E0T0f0U0Y0m060l0R0k0K0j0D0i0b0h0g0S0a0Z0N0M0U0O0L0V0N0U0M0b0P0T
p1	1DIVx	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0R0a0T000h01060f0Y0m0a020C0e0K0W0M0X0N030O0I0P0Q0B0d0I0J5R
p1	1DIVy	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	L	P	050Q0k0B0R0P0d0L0W0I0N0H0F0A080D010V0U0O0M0V0T0c0b0X0c
p1	1DIVz	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	D	P	000K0Z0d070L0E0S0g0M030N050O040J0C0G0Q0P0J0I0H0J
p1	1DIW0	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	L	P	0i0Q0T020R0P0M01000Z07060E0S040U0F0a050V0T0b0h0O0a
p1	1DIW1	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0K0X0N0c0U0d020W0a0V0T0Y0h070H090G0P09
p1	1DIW2	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	D	P	0i0f0C0l0b0G0U0F0E0H0N090J0I0K0P050807000X0Q0R0Y0m0W040X037h
p1	1DIW3	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0k080J0l0j0m0d070C09050A0Q0B0D06040K0I0D0B0R0O0Y0V0f0P0e0W
p1	1DIW4	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	L	P	0l0H0N03050I0U0J0b0K0F0A0G02000i08040c0j0V0k0m09070L06015G2D5wYpP4
p1	1DIW5	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	D	P	0m0Y0i070f0R000E020N0P0F0e0G0W0H0I0J0X0B0I040K0A0J0Q0D0O060P
p1	1DIW6	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	D	P	0d0P0J0Y0k0X0c0Q0V0H080O0C0L010I0K0R0D000207090N0M0F0T0UOmCi0F1E
p1	1DIW7	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	D	P	0f0T020L0Y0m0i0M0R0l0K0U0b0N0c060D050B040I03010G0A0H0J0A
p1	1DIW8	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	D	P	0S0H0m0g0F0K080G0E0L010a070b0Z0c0k0W0Q0d0f0J0C050J0I0P0h0J0BAVGBG1EwKOHJLA0MR8UoWAPL
p1	1DIW9	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	D	P	070i0K0a0m06000Z0f0b0X050e040Q030J02080A0P0H0W0G090N0B0I0U0B87TS0A2e
p1	1DIWA	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	L	P	050N0E090G0604020P0U0W0A0C0k0J0j0m0e0I0Y030i0g0H0F010V0bBy0ODVIo005mPO23OI2U0MTOAB8H3W
p1	1DIWB	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	D	P	0c0E0m0P0O0N0R0O0Y0f0X0M0K0F0d0I0D060C050B040W0B
p1	1DIWC	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	L	P	0X0O0N0D0M0P0T0S0U0Y0F0100020h0a08070E0b0i07090b0L0Z0A0cQX0WYP03Z30d0i0BOi0G0BDA05R40JMNBdSC4q049JSu7U
p1	1DIWD	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0V0e0E0F0c0G0O080j0A070904000C0I0B0H0P010I
p1	1DIWE	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	D	P	0B0U03080A0V0X0W000Y0S0X0L0g0a0h0b0i0T0b
p1	1DIWF	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	D	P	0b0h0K0i0m0Y0U0j0g0R0D0Z0S000Z0a020T0L0103080E0G0N09060HTA0QMISdH1NH
p1	1DIWG	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	L	P	0I0b0P0g040B0W0h0H0i0d0D0k0A0C0O0N0U0G0O0Q0V0X0H0J05060F05
p1	1DIWH	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0X0l0g00020m0Z01030e0Q0R080P0F0O0Q0N090d0W0I0S0k0L0c0E
p1	1DIWI	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	L	P	0e0i0I020l070X0805090C0J0Q060J
p1	1DIWJ	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0H0D0d0e0O0c0V060j030c020004050B0C0I0J010I
p1	1DIWK	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	-	M	0N000Y0c0j0V020b0f0m0h0i0g0d0k0W0e0l0X0P0R0I0K0B0D0G0608Xr0hIx9S2Q0L87106aEnN3HERvBcMRJw4zTa05JW4oXqX0YU5R6HBY1fGu0_4n6T2O7n3A7F486G4uBe5RH4An7n3_6v9_BdEl0_2N6H39Bq8U7u4e703_Cj2N6N39Bt8UCU4eD83_H52N6O8TBq3_CU2ND83LH5AF6O3uBqDqCXElHI2NE18TDM
p1	1DIWL	rust-pathfinder-v0.1.0	rust-surveyor-v0.1.0	L	P	0L0R0Z0l0S000g01030204090B0H0m0k0A0O080P0Q090G0N0J0G0X0f0Y0KR50f7R083j
p1	1DIWM	rust-surveyor-v0.1.0	rust-pathfinder-v0.1.0	D	P	0N030R0b0U0i0G0a090c0k0Z060W0Y0d0f0m0l0P0e0I0Q0O0K0D0C0B0V3G
